,overall_ranking,first_name,last_name,pos,team,body
52,52,River,Ryan,RHP,LOS ANGELES DODGERS,"Age: 26 Ht: 6-2 Wt: 195 Bats: R Throws: R 2024 Ranking: 33 Ryanʼs 2024 season featured his big-league debut, so yay, but it was bookended by two injuries, the latter of which probably will keep him out until 2026 as he underwent Tommy John surgery in August. He started the year on the shelf with a sore shoulder, but did reach the majors for four starts where he showed electric stuff, sitting 96-98 with ride on the four-seamer and both the slider and cutter ﬂashing 55 or better. The cutter was new for him in 2024 and gives him another weapon for lefties, as it looks just like his four-seamer but has a little last-second break downward to fool hitters, although in the majors he leaned on the changeup more than the cutter. Heʼs a https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 78/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic converted inﬁelder whoʼs very athletic on the mound and has already made incredible progress in MLB Teams • • • • • • command and control and has shown the ability to make adjustments from one year to the next. The injury and the lost time do hurt his overall outlook. He's a No. 2 starter if he comes back at 100 percent and can hold up for a full season. Photo:Getty Images LOS ANGELES DODGERS RHP"
53,53,Edgar,Quero,C,CHICAGO WHITE SOX,"Age: 22 Ht: 5-10 Wt: 210 Bats: S Throws: R 2024 Ranking: 67 https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 79/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic Quero came to the White Sox in the 2023 deadline deal that sent Lucas Giolito (brieﬂy) to the MLB Teams • • • • • • Angels. He reached Triple A last year in his ﬁrst full year in Chicago, hitting well at two levels with very strong OBPs. Heʼs an advanced hitter for his age, which balances out some of the lack of projection in his body, as heʼs not likely to get that much stronger and further improvements will have to come from tweaks to his mechanics or swing decisions. Heʼs a switch hitter whoʼs deﬁnitely better from the right side, with large platoon splits the last two years — in that span, he hit .342/.440/.510 against lefties, and .242/.351/.370 against righties. His biggest area of improvement last year was using his strong ball/strike recognition to swing more — he swung at 39 percent of pitches he saw in 2023, then upped that to 47 percent last year, and, lo and behold, he hit better across the board, including boosting his slugging percentage against right-handed pitchers by 111 points. He hit 16 homers last year, but doesnʼt project to produce much if any more power than that; heʼs more likely to be a high-doubles guy with strong on-base skills. Quero remains a solid-average defender with an average arm, still working on some of the ﬁner points of the position but also a no-doubt catcher whose bat looks like itʼll make him a regular there. He may be better off in some kind of soft platoon role, depending on how much of the improvement against righties was real, but thereʼs still everyday ceiling here. Photo:AP Images CHICAGO WHITE SOX C"
54,54,Angel,Genao,SS,CLEVELAND GUARDIANS,"Age: 21 Ht: 5-9 Wt: 150 Bats: S Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 80/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Unranked Genao had a disappointing year in 2023 in Low A, hitting .263/.345/.385 in 72 games after missing the ﬁrst two months with a torn meniscus, but he went back to Low A to start 2024 and hit all year long — .341/.383/.553 repeating Low A, then .322/.377/.463 after a June promotion to High A. Heʼs grown substantially since he was ﬁrst measured at his “ofﬁcial” height and weight of 5-9, 150, gaining signiﬁcant strength but also getting to the point where he might end up outgrowing shortstop. Heʼs a switch-hitter whoʼs better from the left side but capable enough from the right side to keep it up, actually hitting with more power right-handed in each of the last two years. Heʼs an average runner and not terribly twitchy, with second or third base more likely than shortstop, but his bat should still make him an above-average regular at either spot. Photo:Getty Images CLEVELAND GUARDIANS SS"
55,55,https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/,81/148,"3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic",Quinn Mathews,"MLB Teams • • • • • • LHP ST. LOUIS CARDINALS Age: 24 Ht: 6-5 Wt: 188 Bats: L Throws: L 2024 Ranking: Unranked Mathews was a senior sign out of Stanford in 2023 who succeeded with a plus changeup and above-average command but worked at 90-92 when going once a week. He gained a ton of velocity last offseason, however, working 92-97 on the four-seamer, with a slider thatʼs more effective now in the mid-80s despite low spin rates and soft break. The result was that he raced from A-ball through four levels and led all minor-league pitchers with 202 strikeouts, only running into some trouble when he got to Triple A. His arm speed on the changeup is just like it is on the fastball, but the pitch comes out 10 mph or more slower and has some tumble as well, ﬂummoxing hitters who think itʼs coming in at 94, and the funk in his delivery further adds to the deception of the pitch. That said, I donʼt love the delivery; thereʼs a lot of effort behind the funkiness, and he takes a modest stride with some head-snap at release. He was badly overworked as a college senior, especially in the postseason, and then saw his velocity jump up very rapidly inside of a year, which seems in my experience to often precede elbow injuries (this is based on anecdotal evidence, to be clear). Heʼs clearly passed most of the Cardinalsʼ other https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 82/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic pitching prospects and is probably the best guy called up for a rotation spot in the majors if thereʼs MLB Teams • • • • • • an injury — or if they move one of their veterans in a trade before Opening Day. Photo:Getty Images ST. LOUIS CARDINALS LHP"
56,56,Tyler,Black,1B,MILWAUKEE BREWERS,"Age: 24 Ht: 6-1 Wt: 204 Bats: L Throws: R 2024 Ranking: 44 I wish the Brewers would just give Black the ﬁrst-base job and call it a day; he should outperform Rhys Hoskinsʼ 2024 line quite handily after hitting .258/.375/429 in Triple A last year. Black is https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 83/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic extremely disciplined at the plate and already has a reputation for ﬁghting for every strike; his MLB Teams • • • • • • chase rate is good at 20 percent (just in Triple A), not exceptional, but he connected with those in some way more half of the time, either fouling them off or putting them in play. He rarely whiffs and has shown he can hit lefties up through the top levels of the minors. He doesnʼt throw well enough for the left side of the inﬁeld after shoulder surgery, although he runs well enough to maybe play center and certainly could play second if the Brewers didnʼt already have Brice Turang there. Heʼs a very capable ﬁrst baseman, if an untraditional one, with average power and his real strength in getting on base. Black would be more valuable at another spot, which is why heʼs in this place in the rankings, but for his current team heʼs also their best internal option at a less- valuable position he can play. Photo:Imagn Images MILWAUKEE BREWERS 1B"
57,57,Thomas,White,LHP,MIAMI MARLINS,"Age: 20 Ht: 6-5 Wt: 210 Bats: L Throws: L https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 84/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Unranked White was the Marlinsʼ second pick in the 2023 draft, a huge high school lefty out of Massachusetts who had big stuff but questions around his long arm swing and present command. He turned a lot of that on its head in spring training last year, showing up in incredible shape and with a clear determination to get better any way he could, and ended up pitching better after a midyear promotion to High A. White topped out at 97.6 mph in the Florida State League last year and sat 94-96 with his high-spin four-seamer, getting good ride at the top of the zone, along with an easily plus changeup and a slider that looked about average but played exceptionally well even at a relatively low velocity for the pitch (mostly 78-82). His delivery is pretty easy, perhaps still lacking deception — a concern scouts raised when he was an amateur — but it didnʼt affect him anywhere in A-ball and I wouldnʼt change anything right now. If he gets more power to the slider, which at least has above-average spin rates to work with, he could easily have three plus pitches, with a 200-inning starterʼs build and what now looks like at least average command. White did a great job preparing himself for the season last winter and the Marlins might have a future ace. Photo:Getty Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 85/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MIAMI MARLINS LHP MLB Teams • • • • • •"
58,58,Zyhir,Hope,OF,LOS ANGELES DODGERS,"Age: 20 Ht: 5-10 Wt: 193 Bats: L Throws: L 2024 Ranking: Unranked Hope was part of the four-player trade that sent Michael Busch and Yency Almonte to the Cubs, bringing Hope and Jackson Ferris to the Dodgers, a deal that got the Cubs their best season from a ﬁrst baseman since 2019, but that has also given the Dodgers two of their top six prospects. Hope seemed like a longshot when the Cubs took him in the 11th round in 2023 out of a small high school in central Virginia; he was a tremendous athlete with plus speed but no history of hitting even decent pitching and poor instincts in the outﬁeld. Fast forward a year and heʼs become a much, much better hitter in every way, improving his pitch selection and recognition, getting stronger (to the point where he probably doesnʼt have a lot of physical projection left), and https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 86/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic becoming at least an average defender in an outﬁeld corner. He doesnʼt chase pitches out of the MLB Teams • • • • • • zone and he really doesnʼt miss anything inside, regardless of pitch types. He is more vulnerable to velocity up and/or away and pitchers are going to try to attack him there or down with offspeed stuff, but heʼs made so many adjustments already it seems reasonable to bet heʼll adjust again as needed. Heʼs every bit of a 70 runner and shows plus power already, and you can project 30/30 on him pretty easily if he continues to hit and control the zone as he moves up the ladder. He did have some more trouble with better pitching in the AFL, and the move up to High A and a worse hitterʼs environment this year will tell us more about just how advanced he is and how much time he might need to get to the majors. Hopeʼs upside is enormous, with a wide variance in potential outcomes. Photo:Getty Images LOS ANGELES DODGERS OF"
59,59,Josue,Briceno,"C,1B",DETROIT TIGERS,"Age: 20 Ht: 6-4 Wt: 200 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 87/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Unranked Briceño signed with the Tigers in January 2022 for $800,000 as a catcher with some offensive potential, but at this point it looks like heʼs just going to be a ﬁrst baseman who mashes. He had played only 11 games above the complex leagues coming into 2024, then got hurt 28 games into the Florida State League season, missing three months with a strained PCL in his right knee. To make up for some of that lost time, he went to the Arizona Fall League, where he was one of the youngest players at 19 and one of a very small number of players there who hadnʼt played above Low A yet. In 25 games, he hit absolutely everything. Itʼs a hitterʼs environment out in the desert, sure, but his .433/.509/.867 line was good enough to lead the league in average and slugging. Heʼs a big guy, listed at 6-4, 200, and probably stronger than that, but his swing is very easy and quiet, and heʼs reached 109 mph in each of his two stints in Low A already, with an EV50 just over 100 mph. He also showed strong pitch recognition in the Florida State League and in Arizona, and rarely swung and missed; if thereʼs a knock on his offense, itʼs that heʼs a little too pull-heavy now, although heʼs also hardly had the need to try to do anything else. He only played ﬁrst base in Arizona with Thayron Liranzo there, and Briceño was already iffy as a catcher even before the knee injury. I think his future is at ﬁrst, and it might behoove the Tigers to just put him there now https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 88/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic and let him go rake rather than slow his development or risk further injury at a position heʼs MLB Teams • • • • • • already unlikely to play. He might be a top 20 prospect in a year from his bat alone. Photo:Getty Images DETROIT TIGERS C 1B"
60,60,Jac,Caglianone,1B,KANSAS CITY ROYALS,"Age: 22 Ht: 6-5 Wt: 250 Bats: L Throws: L 2024 Ranking: Ineligible Caglianone was a two-way star at Florida, hitting 35 homers as a junior while also making 16 starts, although his future is much brighter as a hitter than on the mound. He has 80 raw power https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 89/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic and did work to cut his strikeout rate from his sophomore year (18.1 percent) to his junior year MLB Teams • • • • • • (8.2 percent), missing less often on pitches in the zone. He still chases pitches out of the zone way too often, doing so nearly 40 percent of the time last spring, and needs to develop more of a two-strike approach and work on going the other way on pitches outside, as heʼs very pull-heavy. As a pitcher, has been up to 99 and shows at least an average changeup, but itʼs a cross-body delivery with a lot of effort to it, resulting in well below average control (15.4 percent walk rate in two years for the Gators), and heʼs already had one Tommy John surgery in high school. The Royals have said so far that they intend to let him hit and pitch, which probably means heʼs going to stay at ﬁrst base to protect his arm; Iʼd love to see him just focus on hitting, given the 40-homer upside and the need for some big adjustments, which might also let him handle right ﬁeld. Photo:Getty Images KANSAS CITY ROYALS 1B"
61,61,Jett,Williams,SS,NEW YORK METS,"Age: 21 Ht: 5-6 Wt: 175 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 90/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 30 Williams had a breakout year in 2023, but he started to feel pain in his right wrist during an awful start in April last season and eventually had surgery that kept him out for exactly four months, limiting him to 30 total games including his rehab assignment. He didnʼt hit well anywhere except for the one six-game series he spent in Triple A, still drawing plenty of walks but without any impact when he did make contact — which could easily be a result of the wrist injury. He went to the Fall League to pick up some more at-bats, and was a 45 defender at short there and running closer to average than plus, and might be better suited to second base regardless of the presence of Francisco Lindor at shortstop in Queens. Itʼs a compact swing combined with very good ball/strike awareness, and he could be a high-average/high-OBP second baseman with 55-60 defense, which would make him a solid or better regular. His 2024 season was just a lost year, and while he canʼt get those at-bats back, itʼs also possible that weʼll have to just disregard what he did do when he played because he wasnʼt 100 percent. Photo:AP Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 91/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic NEW YORK METS SS MLB Teams • • • • • •"
62,62,Luke,Keaschall,"2B,OF",MINNESOTA TWINS,"Age: 22 Ht: 6-0 Wt: 190 Bats: R Throws: R 2024 Ranking: Unranked Keaschall was the Twinsʼ second-round pick in 2023 out of Arizona State and ﬁnished his ﬁrst full pro season in Double A, hitting well at two levels with very high contact rates and some surprising power. Keaschall has always shown good awareness of the strike zone and that carried over into pro ball, with a chase rate under 20 percent on the season, and excellent pitch recognition to go along with it. Heʼd had issues with fastballs up in college, but heʼs looser at the plate now and gets to those pitches more often. Heʼs also staying back longer before transferring his weight to his front side, allowing him to get more power from his lower half and helping him swat 15 homers in https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 92/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic 102 games last year. Heʼs close to a 60 runner and should end up a 55 or better defender at MLB Teams • • • • • • second, just lacking the arm to move to short or third, and range-wise he looks more than capable of handling centerﬁeld. He played with a torn UCL last year and ended up undergoing Tommy John surgery in August, so weʼll have to see what his arm strength looks like on his return. Heʼs a very likely regular as long as he can still handle the throws from second base, and his bat might even proﬁle if he has to move to left in the worst case scenario. Photo:Getty Images MINNESOTA TWINS 2B OF"
63,63,Caden,Dana,RHP,LOS ANGELES ANGELS,"Age: 21 Ht: 6-4 Wt: 215 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 93/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic 2024 Ranking: Unranked MLB Teams • • • • • • Dana did not belong in the big leagues last season, and his 9.58 ERA in three starts shouldnʼt be held against him. He had a wildly successful year as a 20-year-old in Double A with just 76 innings of previous pro experience. He posted a 2.52 ERA in the minors, striking out 27.2 percent of batters and walking just 7.2 percent, making 23 starts for Rocket City and then the three more for the Angels to make for about as full a season of work as youʼll ﬁnd for a 20-year-old pitching prospect. Dana mostly works with a 92-95 mph fastball and an above-average slider, with an occasional changeup that has good deception and a little tumble, and a curveball thatʼs not bad but that he barely uses. Heʼll have to use the changeup more to continue to keep lefties in check, as he did in Double A, but otherwise he has a good pitch mix and his delivery should get him to at least above-average command. Heʼs got a solid ﬂoor as a No. 4 starter and is young enough to keep reﬁning his pitches and his overall pitching plan and get to a No. 2. Photo:Imagn Images LOS ANGELES ANGELS RHP"
64,64,Alejandro,Rosario,RHP,TEXAS RANGERS,"Age: 23 Ht: 6-1 Wt: 182 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 94/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Unranked Rosario posted a 7.11 ERA in his draft year for the University of Miami, and a 7.05 ERA as a sophomore, despite a good arm and a potential out pitch in his splitter that he barely used, as Miami had him working more sinker/changeup. The Rangers took him in the ﬁfth round for the quality of his stuff — obviously not for the quality of his results — and told him to throw the splitter and go with a four-seamer up, and voila!, instant prospect! He works from the extreme third-base side of the rubber, getting some more deception against righties, as he has the splitter for lefties and can still be effective against them even without throwing offspeed stuff on the inner third to them. He has elite control already, pounding the strike zone with his fastball and walking just 3.7 percent of batters he faced at both levels of A-ball last year, although thatʼs likely to go up as older hitters lay off the splitter when itʼs out of the zone. He repeats his delivery to keep up the control, and while heʼs not very tall he looks strong enough to handle a starterʼs workload. Even as is, sitting 92-95 with the plus splitter and a maybe-average slider, he should be a mid-rotation starter and get to the majors this year. Photo:AP Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 95/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic TEXAS RANGERS RHP MLB Teams • • • • • •"
65,65,Ryan,Waldschmidt,OF,ARIZONA DIAMONDBACKS,"Age: 22 Ht: 6-2 Wt: 205 Bats: R Throws: R 2024 Ranking: Ineligible Waldschmidt got ﬁrst-round buzz for much of the spring of 2024 but ended up sliding to the No. 31 pick, possibly because teams had concerns about the ACL tear he suffered a year prior. Right now that looks like a boon for the Diamondbacks, who took him with their second selection of the draft. He had one of the best pure hit tools in the draft, rarely missing a fastball and generally not chasing much on any pitches. He hit .370/.500/.653 for Kentucky despite a wide setup and no stride, which limited how much he could generate power from his lower half and resulted in a swing that could get too steep as he tried to loft the ball. He does have room to add 20-25 https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 96/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic pounds, and has already made some small mechanical adjustments to try to loosen up his hips MLB Teams • • • • • • and keep his swing in that optimal range for power. In instructional league, the DBacks tried him at third base, where he last played as a freshman at Charleston Southern before he transferred to Kentucky, but the results werenʼt good and he should just go to an outﬁeld corner and stay there. He has .300 average/25-homer upside if he can loosen up those hips. Photo:Imagn Images ARIZONA DIAMONDBACKS OF"
66,66,Lazaro,Montes,OF,SEATTLE MARINERS,"Age: 20 Ht: 6-3 Wt: 210 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 97/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic 2024 Ranking: Unranked MLB Teams • • • • • • Montes is a huge, lumbering prospect from Cuba who hits the ball exceptionally hard, so the natural comparison is to a young Yordan Alvarez, who was older than Montes when he ﬁrst played in full-season ball but reached the majors days before his 22nd birthday. Montes is extremely strong and has produced exit velocities well north of 110 mph, with clear 40 homer upside as long as he hits enough to get to it. Heʼs not as natural of a hitter as Alvarez, although the Mariners worked with him on pitch selection and a two-strike approach last year and he did see better swing decisions overall. He raked in Low A as a 19-year-old, hitting .309/.411/.527 with just a 19.1 percent strikeout rate, then moved up to High A around the midpoint and hit .260/.378/.427 there with a 29.6 percent strikeout rate, still making hard contact but a lot more whiffs on stuff in the zone. Heʼs going to end up at ﬁrst base, as heʼs already really big for an outﬁeld corner and doesnʼt have much range, but thereʼs a pretty good chance he hits for enough power and takes enough walks to be an above-average regular there. I donʼt think Montes is really the next Yordan; he doesnʼt have the same kind of hit tool, but he also doesnʼt have Yordanʼs knees, which both required surgery when he was 23 and made him even less mobile than he was before. Photo:AP Images SEATTLE MARINERS OF"
67,67,Cooper,Ingle,C,CLEVELAND GUARDIANS,"Age: 23 Ht: 5-10 Wt: 190 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 98/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Unranked Ingle was a part-time catcher at Clemson when Cleveland took him in the fourth round in 2023 and announced him as a catcher, a project that of course would make his high-contact, low-power bat a lot more viable. A year and a half later, the project looks like a resounding success, as Ingle reached Double A last year, has walked more than heʼs struck out as a pro, and has improved his defense to the point where heʼs clearly going to stay at catcher. Ingle knows the strike zone extremely well, and he whiffed just 14 percent of the time he swung last year, with a short, quick swing that has a little more lift in its ﬁnish than it did in college, bringing his groundball rate down from 55 percent as a college junior to 45 percent last year. His defense isnʼt pretty but he can catch and block, and a quick transfer helps his fringy arm play up to the point where heʼs adequate against the running game. He hit 11 homers last year between High A and Double A, all off right-handed pitchers, and heʼll have to show he can make better quality contact against lefties, whereas now he just walks against them. Heʼs small but well put together, and with his contact and on-base skills he could be a .375 OBP/.400 SLG guy, which is a heck of a regular behind the plate even if heʼs just fringy defensively. Photo:Imagn Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 99/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic CLEVELAND GUARDIANS C MLB Teams • • • • • •"
68,68,Alex,Freeland,SS,LOS ANGELES DODGERS,"Age: 23 Ht: 6-2 Wt: 200 Bats: S Throws: R 2024 Ranking: Unranked Freeland broke his hamate bone in his draft year in 2022, then struggled in his full-season debut in 2023, hitting .240/.345/.362 in High A while dealing with some minor injuries. His production took off last year after getting fully healthy and making some small adjustments to his swing. He ripped through High A and hit .245/.370/.422 in half a season in Double A before a promotion to Triple A to ﬁnish the season, where he hit .243/.335/.396 but had some excellent underlying data. Born with a clubfoot that required several surgeries, Freeland runs close to average and plays an average-ish shortstop now with a plus arm. Heʼs dabbled a little at second and third, https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 100/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic playing about 50 innings at each spot last year, and the odds are heʼll end up at one of those spots MLB Teams • • • • • • in the long run. Heʼs a switch-hitter who doesnʼt post huge exit velocities but also doesnʼt post a lot of low ones either, averaging over 91 mph in his brief Triple-A time despite never hitting anything above 107. Heʼs also a very disciplined hitter who doesnʼt chase or whiff very often, and has shown above-average power already, with 53 extra-base hits last year, including 18 homers. There isnʼt really any projection here beyond further developing the hit tool against better pitching. He doesnʼt really need to do anything more to be a solid regular at second or third, or an above-average one if he does manage to stick at shortstop. Photo:AP Images LOS ANGELES DODGERS SS"
69,69,Jaison,Chourio,OF,CLEVELAND GUARDIANS,"Age: 20 Ht: 6-1 Wt: 162 Bats: S Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 101/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Just missed Chourio spent all of 2024 in Low A as a 19-year-old and ended up ranking 10th in all of the minors with 86 walks, the most drawn by any teenager in minor league baseball last year. Jacksonʼs younger brother is also a centerﬁelder and an excellent athlete, a switch-hitter and centerﬁelder right now who could end up in a corner as he continues to ﬁll out and who may end up just hitting left-handed. Heʼs a strong defender right now up the middle with above-average speed, so if he can maintain that even with the physical projection he has left, he could remain in center in the long term. His plate discipline and hand-eye are outstanding, leading to chase and whiff rates well above (better than) average, although he needs to add some hand strength to get some more consistent loft in his ﬁnish. His groundball rate in 2024 was 49.3 percent, which was actually his lowest rate at any stop in pro ball. Heʼs been much better from the left side; batting right-handed last year, he hit just .245/.409/.283, with more walks (16) than total bases (15). It might be a bat speed question, as his right-handed bat path looks ﬁne and he actually gets a little more loft than he does left-handed. He doesnʼt have Jacksonʼs ceiling, but thereʼs a scenario here where Jaison stays in center and ﬁgures out hitting against lefties enough to be a grade 60 player, with 20ish homers and very high OBPs, and the ﬂoor is really solid given his very real patience and likelihood https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 102/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic of plus defense in a corner. His 2024 did end with a broken wrist, so itʼs possible he wonʼt get all MLB Teams • • • • • • the strength back until some time this summer. Photo:Getty Images CLEVELAND GUARDIANS OF"
70,70,Bryce,Rainer,SS,DETROIT TIGERS,"Age: 19 Ht: 6-3 Wt: 195 Bats: L Throws: R 2024 Ranking: Ineligible Rainer was the second high school player taken in the 2024 draft and the top high schooler on my draft board, ranking highly as a true shortstop with a plus arm and sneaky power that gives him https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 103/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic the chance to be a two-way impact player. Heʼs a plus defender with great instincts, showing real MLB Teams • • • • • • leadership on his high school team on the ﬁeld (such as directing other players on positioning) and a plus arm thatʼs been up to 95 on the mound. Heʼs power-over-hit right now, with a lot of leverage in his swing and good loft to drive the ball to all ﬁelds, but his bat speed is just fair and when he saw good velocity as an amateur he struggled. Heʼs still pretty raw, especially for a California high school kid, with a lot of room for physical and skills improvements, and the Tigers will probably be able to help him tighten up the swing to be shorter to the ball. Itʼs 20-homer upside in a plus defensive shortstop as long as he hits enough to get to it. Photo:AP Images DETROIT TIGERS SS"
